datasets,Imago,MolVec,OSRA,DECIMER,MolMiner,MICER,MolScribe,Image2InChI
DMS1000,0.50,0.52,0.57,0.53,0.46,0.69,0.93,0.93
JPO,0.26,0.32,0.20,0.29,0.35,0.46,0.48,0.47
CLEF,0.60,0.83,0.22,0.51,0.87,0.79,0.85,0.86
UOB,0.36,0.49,0.27,0.57,0.93,0.74,0.82,0.94
