datasets,Imago,MolVec,OSRA,DECIMER,MolMiner,MICER,MolScribe,Image2InChI
DMS1000,0.68,0.69,0.72,0.6,0.51,0.71,0.91,0.96
JPO,0.54,0.41,0.30,0.32,0.42,0.51,0.57,0.6
CLEF,0.62,0.64,0.39,0.57,0.83,0.81,0.86,0.87
UOB,0.64,0.61,0.44,0.62,0.94,0.77,0.85,0.96
